Date,Open,High,Low,Close,Volume,EMA20,EMA50,RSI,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Std,BB_Upper,BB_Lower,Wavelet_Smooth
2022-08-28,220.3,223.5,205.0,206.5,17163,215.34913000120034,201.5814961680365,43.27778906572251,217.70924580363814,212.4080504657349,5.301195337903238,8.319524186037158,-3.0183288481339208,221.84500000000003,7.445272254751267,236.73554450950257,206.95445549049748,213.27667844522966
2022-08-29,206.5,210.65,203.5,205.75,8717,214.43492714394316,201.74496690654487,42.81426750833963,215.86936183384765,211.91486154234713,3.9545002915005227,7.446519407129832,-3.4920191156293097,221.39000000000001,8.140826286783149,237.67165257356632,205.1083474264337,206.76660777385163
2022-08-30,204.5,215.5,204.5,208.5,5877,213.86969598737716,202.00987016511175,45.134647740276414,214.73561385940957,211.6619088355066,3.07370502390296,6.571956530484458,-3.4982515065814983,220.25,8.275327947071306,236.8006558941426,203.6993441058574,205.78180212014135
2022-08-31,205.4,212.5,203.55,203.75,10650,212.90591541715077,202.07811055079367,41.96708061574851,213.0455194195004,211.07584151435796,1.9696779051424471,5.651500805416056,-3.681822900273609,218.6375,8.18639556632962,235.01029113265923,202.26470886734074,206.6256183745583
2022-09-01,201.55,210.7,200.05,209.0,11402,212.5339234726602,202.34955719586057,46.44109937401519,212.42313181650036,210.92207547625736,1.5010563402429966,4.8214119123814445,-3.320355572138448,217.4125,7.661590377021155,232.7356807540423,202.08931924595768,206.11166077738517
2022-09-02,210.0,212.0,203.45,205.0,2217,211.81640695145447,202.45349612935624,43.67814963243418,211.28111153703878,210.48340321875682,0.7977083182819626,4.016671193561549,-3.218962875279586,216.13250000000002,7.4787114531849515,231.08992290636994,201.1750770936301,206.84911660777382
2022-09-04,202.0,207.95,199.55,207.5,15360,211.40532057512547,202.6513982419305,45.84665490449488,210.69940206980206,210.26241038773782,0.4369916820642459,3.300735291262088,-2.8637436091978423,215.455,7.622161248967565,230.69932249793516,200.21067750206487,206.6005300353357
2022-09-05,204.4,207.0,203.55,206.5,2750,210.93814718701827,202.8023238010705,45.0986714507074,210.05334021290943,209.98371332197948,0.06962689092995333,2.6545136111956613,-2.584886720265708,214.78000000000003,7.794302912687981,230.368605825376,199.19139417462407,206.62614840989397
2022-09-06,203.45,205.05,199.55,202.45,11293,210.12975221682606,202.78850718142067,42.10272369584819,208.88359556476954,209.42566048331432,-0.5420649185447814,2.0151979052475726,-2.557262823792354,214.05,8.24139104252364,230.5327820850473,197.56721791495272,205.41261484098936
2022-09-07,199.55,201.5,197.65,200.5,3821,209.21263295808072,202.69876180175714,40.70075840841583,207.59381163172807,208.76450044751326,-1.1706888157851836,1.3780205610410214,-2.548709376826205,213.325,8.773997168667696,230.87299433733537,195.7770056626646,201.96512367491164
2022-09-08,202.5,205.5,195.05,202.0,5024,208.5257155335016,202.67135937815885,42.29260021280462,206.73322522684686,208.26342634029004,-1.5302011134431837,0.7963762261441805,-2.326577339587364,212.3,8.84289783415269,229.9857956683054,194.61420433169462,200.77371024734978
2022-09-11,199.0,202.0,196.5,198.95,3405,207.61374262554907,202.5254237162703,39.94457970184144,205.5358059611781,207.57354290767594,-2.03773694649783,0.22955359161577837,-2.2672905381136084,211.4925,9.299353047672847,230.0912060953457,192.8937939046543,200.6804240282685
2022-09-12,196.5,198.5,194.0,195.45,4585,206.45529094692534,202.2479561195538,37.37992548530454,203.98414350561222,206.67550269229255,-2.69135918668033,-0.35462896404344335,-2.336730222636887,210.41500000000002,9.859247595932143,230.1334951918643,190.69650480813573,198.09681978798582
2022-09-13,198.0,203.95,192.6,196.95,7287,205.55002514245626,202.04019313447327,39.18215415712039,202.9019675816719,205.95509508545607,-3.053127503784168,-0.8943286719915884,-2.1587988317925797,208.7125,9.021857595511197,226.7562151910224,190.66878480897762,195.9189399293286
2022-09-14,195.0,205.0,194.05,205.0,12331,205.49764179555567,202.1562639919449,47.855627787009254,203.22474179987623,205.8843473013482,-2.6596055014719866,-1.247384037887668,-1.4122214635843187,207.7375,8.246241169226824,224.22998233845365,191.24501766154637,199.2780212014134
2022-09-15,207.5,207.5,195.05,199.9,7917,204.96453305312178,202.06778305108435,43.612091478333994,202.71324306143373,205.44106231606315,-2.7278192546294235,-1.543471081236019,-1.1843481733934045,206.6325,7.69687692987765,222.0262538597553,191.2387461402447,202.85544169611305
2022-09-16,196.95,196.95,189.3,196.5,4031,204.15838704806256,201.8494386177085,41.00178730705838,201.75735951352084,204.77876140376216,-3.0214018902413216,-1.8390572430370797,-1.1823446472042418,205.41,7.230720281512219,219.87144056302444,190.94855943697556,199.81572438162544
2022-09-18,194.5,194.5,183.5,185.0,8055,202.3337787577709,201.18867631897484,33.66277350146608,199.1793042037484,203.31366796644645,-4.134363762698058,-2.2981185469692758,-1.8362452157287823,203.56,7.4913037302558765,218.54260746051176,188.57739253948824,192.33787985865723
2022-09-20,183.0,190.4,175.45,181.4,9085,200.34008554274507,200.41264979666212,31.747071595155433,196.44402663394095,201.69043330226523,-5.246406668324283,-2.8877761712402776,-2.3586304970840057,201.68,8.10541404507526,217.89082809015053,185.46917190984948,184.2332862190813
2022-09-21,184.0,184.95,177.5,183.35,3810,198.72198215772175,199.74352627522438,33.940043724865546,194.42956099795003,200.33188268728264,-5.902321689332609,-3.490685274858744,-2.4116364144738656,199.9975,8.249170213453239,216.49584042690648,183.49915957309352,181.25890459363956
2022-09-22,185.25,185.25,177.5,180.0,2164,196.93893623793872,198.96927034286264,32.0357182912844,192.20962853672694,198.82581730303949,-6.616188766312547,-4.115785973149505,-2.500402793163042,198.67249999999999,9.220778523473223,217.11405704694644,180.23094295305353,181.7473851590106
2022-09-25,177.5,179.5,171.5,175.0,4463,194.8495137390874,198.02929895686805,29.385555478819157,189.5619933772305,197.06094194725878,-7.49894857002829,-4.792418492525262,-2.706530077503028,197.135,10.459069345737449,218.05313869147489,176.2168613085251,178.69597173144876
2022-09-27,175.0,185.0,175.0,175.15,1330,192.97336957346005,197.1320715467948,29.573780953411585,187.34476362688736,195.4379092104248,-8.09314558353745,-5.4525639107277,-2.6405816728097493,195.4675,11.185084934858436,217.83766986971688,173.09733013028313,175.0814840989399
2022-09-28,175.15,177.5,172.65,177.35,1815,191.4854296140829,196.3563040351558,32.41906202065482,185.80710768428932,194.09806408372665,-8.290956399437334,-6.0202424084696275,-2.2707139909677068,194.1475,11.702029457365485,217.55155891473098,170.74344108526904,175.43505300353357
2022-09-29,179.5,182.0,174.05,175.5,2590,189.96300774607502,195.53840975926732,31.274816293955112,184.22139880978327,192.72042970715432,-8.499030897371057,-6.516000106249914,-1.983030791121143,192.4725,11.860665586630935,216.19383117326186,168.75116882673814,176.58448763250883
2022-10-09,178.0,180.5,177.5,180.45,1917,189.0570070083536,194.94670741576664,37.61918020019277,183.64118360827814,191.81150898810586,-8.170325379827716,-6.846865160965475,-1.323460218862241,191.24499999999998,11.765917549833082,214.77683509966613,167.71316490033382,177.51441696113073
2022-10-10,183.05,184.75,174.95,181.05,1665,188.2944349123199,194.40173849750127,38.3619458840605,183.24253997623535,191.0143601741721,-7.771820197936762,-7.031856168359733,-0.7399640295770293,189.92249999999999,11.320759633708628,212.56401926741725,167.28098073258272,180.15381625441694
2022-10-11,178.45,183.5,173.55,180.5,2150,187.55210777781326,193.85657228191297,37.91626660410077,182.8206107491222,190.235518679789,-7.4149079306668,-7.108466520821147,-0.30644140984565293,188.6225,10.797666353625047,210.2178327072501,167.0271672927499,181.27325088339222
2022-10-12,177.9,182.5,175.0,179.75,1037,186.809049894212,193.30337336889679,37.28022777433857,182.3482090954111,189.45881359239723,-7.110604496986127,-7.1088941160541435,-0.0017103809319838348,187.4875,10.455316892174293,208.3981337843486,166.57686621565142,180.3356183745583
